study_hours,mark
1,20
1.5,24
1,19
1.5,25
2,30
2.5,36
2,31
2.5,38
3,40
3.5,45
3,41
3.5,44
4,46
4.5,48
4,47
4.5,49
5,51
5.5,54
5,53
5.5,55
6,56
6.5,59
6,58
6,62
7,64
7.5,68
7,66
7.5,70
8,72
8.5,76
8,75
8.5,79

1,10
1.5,14
1,09
1.5,15
2,20
2.5,26
2,21
2.5,28
3,30
3.5,35
3,31
3.5,34
4,36
4.5,38
4,37
4.5,39
5,41
5.5,44
5,43
5.5,45
6,46
6.5,49
6,48
6,52
7,54
7.5,58
7,56
7.5,60
8,62
8.5,66
8,65
8.5,69

1,30
1.5,34
1,29
1.5,35
2,40
2.5,46
2,41
2.5,48
3,50
3.5,55
3,51
3.5,54
4,56
4.5,58
4,57
4.5,59
5,61
5.5,64
5,63
5.5,65
6,66
6.5,69
6,68
6,72
7,74
7.5,78
7,76
7.5,80
8,82
8.5,86
8,85
8.5,89

1,50
1.5,54
1,49
1.5,55
2,60
2.5,66
2,61
2.5,68
3,70
3.5,75
3,71
3.5,74
4,76
4.5,78
4,77
4.5,79
5,81
5.5,84
5,83
5.5,85
6,36
6.5,39
6,38
6,42
7,44
7.5,48
7,46
7.5,50
8,52
8.5,56
8,55
8.5,59

1,20
1.5,24
1,19
1.5,25
2,30
2.5,36
2,31
2.5,38
3,40
3.5,45
3,41
3.5,44
4,46
4.5,48
4,47
4.5,49
5,51
5.5,54
5,53
5.5,55
6,56
6.5,59
6,58
6,62
7,64
7.5,68
7,66
7.5,70
8,72
8.5,76
8,75
8.5,79
9,84
10,89
11,91
12,95

1,19
1.5,23
1,18
1.5,24
2,29
2.5,35
2,30
2.5,37
3,39
3.5,44
3,40
3.5,43
4,45
4.5,47
4,46
4.5,48
5,50
5.5,53
5,52
5.5,54
6,56
6.5,57
6,57
6,61
7,63
7.5,67
7,65
7.5,69
8,71
8.5,75
8,74
8.5,78
9,83
10,87
11,90
12,93

1,19
1.5,23
1,18
1.5,24
2,29
2.5,35
2,30
2.5,37
3,39
3.5,44
3,40
3.5,43
4,45
4.5,47
4,46
4.5,48
5,50
5.5,53
5,52
5.5,54
6,56
6.5,57
6,57
6,61
7,63
7.5,67
7,68
7.5,70
8,74
8.5,76
8,78
8.5,80
9,86
10,90
11,93
12,95
